Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,clustering,Authority,Hub,indegree,outdegree,Degree
49153,49153,,2,0.8125,0.884615,0,0,26,0.047619,0,0.005701,1,21,22
1232000781,1232000781,,0,0,0,0,0,25,0,0.000258,0,1,0,1
1233157441,1233157441,,0,0,0,0,0,24,0,0.000258,0,1,0,1
1234001763,1234001763,,0,0,0,0,0,23,0,0.000258,0,1,0,1
1234878787,1234878787,,0,0,0,0,0,22,0,0.000258,0,1,0,1
1235503862,1235503862,,0,0,0,0,0,21,0,0.000258,0,1,0,1
1241725070,1241725070,,0,0,0,0,0,20,0,0.000258,0,1,0,1
1244052321,1244052321,,0,0,0,0,0,19,0,0.000258,0,1,0,1
1244493496,1244493496,,0,0,0,0,0,18,0,0.000258,0,1,0,1
1244549627,1244549627,,0,0,0,0,0,17,0,0.000258,0,1,0,1
1248035836,1248035836,,0,0,0,0,0,16,0,0.000258,0,1,0,1
65379,65379,,0,0,0,0,0,15,0.015152,0.025397,0,12,0,12
1235316013,1235316013,,0,0,0,0,0,14,0,0.000258,0,1,0,1
80040,80040,,1,1,1,490,0,13,0.063241,0.052501,0,21,3,24
1238945542,1238945542,,0,0,0,0,0,10,0,0.000258,0,1,0,1
115949,115949,,1,1,1,28,0,9,0.2,0.000725,0,3,3,6
1247348393,1247348393,,0,0,0,0,0,6,0,0.000258,0,1,0,1
51649,51649,,1,1,1,90,0,5,0.0625,0.043127,0,15,3,18
1235434246,1235434246,,0,0,0,0,0,2,0,0.000258,0,1,0,1
87139,87139,,0,0,0,0,0,1,0,0.000258,0,1,0,1
1239211578,1239211578,,0,0,0,0,0,0,0,0.000258,0,1,0,1
16391,16391,,4,0.370536,0.433233,0,0,359,0.031092,0,0.032262,1,35,36
1231971979,1231971979,,0,0,0,0,0,358,0,0.001461,0,1,0,1
19074,19074,,4,0.430622,0.524074,1847.06349,0,357,0.042063,0.039221,0.014,18,19,37
1236232178,1236232178,,0,0,0,0,0,334,0,0.001461,0,1,0,1
23822,23822,,1,1,1,1112,0,257,0.039315,0.062215,0,24,9,33
1224023178,1224023178,,0,0,0,0,0,333,0,0.001461,0,1,0,1
18192,18192,,4,0.496164,0.583763,609.433333,0,332,0.021408,0.006808,0.039918,5,49,54
1230612372,1230612372,,0,0,0,0,0,180,0,0.001461,0,1,0,1
32854,32854,,3,0.5,0.566667,20,0,179,0.166667,0.001461,0.001251,2,5,7
1235189115,1235189115,,0,0,0,0,0,158,0,0.001461,0,1,0,1
18284,18284,,2,0.6,0.666667,3.5,0,157,0,0.001461,0.00424,1,2,3
1224886900,1224886900,,0,0,0,0,0,150,0,0.001461,0,1,0,1
2486915,2486915,,0,0,0,0,0,149,0.006536,0.034304,0,18,0,18
1234233312,1234233312,,0,0,0,0,0,148,0,0.001461,0,1,0,1
58251,58251,,0,0,0,0,0,147,0,0.00288,0,3,0,3
1233608033,1233608033,,0,0,0,0,0,146,0,0.001461,0,1,0,1
70289,70289,,2,0.6,0.666667,518.866667,0,145,0.03268,0.048562,0.005478,12,6,18
1235627047,1235627047,,0,0,0,0,0,126,0,0.001461,0,1,0,1
30394,30394,,0,0,0,0,0,125,0.025641,0.035253,0,13,0,13
1226350824,1226350824,,0,0,0,0,0,124,0,0.001461,0,1,0,1
56509,56509,,0,0,0,0,0,123,0.020833,0.05175,0,16,0,16
1237501954,1237501954,,0,0,0,0,0,122,0,0.001461,0,1,0,1
25538,25538,,3,0.387597,0.43,212.75,0,121,0.1,0.01863,0.000087,6,5,11
1223340692,1223340692,,0,0,0,0,0,70,0,0.001461,0,1,0,1
52420,52420,,1,1,1,256,0,69,0.060526,0.046554,0,16,5,21
1235424038,1235424038,,0,0,0,0,0,64,0,0.001461,0,1,0,1
47580,47580,,3,0.538462,0.619048,262.6,0,63,0.017544,0.069877,0.005721,17,2,19
1231288122,1231288122,,0,0,0,0,0,55,0,0.001461,0,1,0,1
40161,40161,,2,0.551724,0.59375,216.333333,0,54,0.10989,0.030406,0.007909,11,4,15
1231291257,1231291257,,0,0,0,0,0,37,0,0.001461,0,1,0,1
42219,42219,,2,0.625,0.7,5,0,36,0,0.001461,0.000234,1,2,3
1229406582,1229406582,,0,0,0,0,0,30,0,0.001461,0,1,0,1
39677,39677,,0,0,0,0,0,29,0.01732,0.235265,0,92,0,92
1228443849,1228443849,,0,0,0,0,0,28,0,0.001461,0,1,0,1
1235513029,1235513029,,0,0,0,0,0,27,0,0.001461,0,1,0,1
